Sample ID,Replicate Number,Detection Date,Detection Time,User Name,Manual Dilution Factor,Auto Dilution Factor,Peak Concentration,Concentration Units,Channel Number,Peak Area,Peak Height,Peak Concentration,Concentration Units,Channel Number,Peak Area,Peak Height

Cal Std 1000/3000 ug/l,1,11/19/2021,9:17:33 AM,PSSadmin,1,1,1000,ug P/L,1,12.3,0.598,3000,ug N/L,2,4.58,0.355
Cal Std 500/1500 ug/L,1,11/19/2021,9:18:51 AM,PSSadmin,1,1,500,ug P/L,1,5.52,0.268,1500,ug N/L,2,2.18,0.164
Cal Std 100/1000 ug/L,1,11/19/2021,9:20:08 AM,PSSadmin,1,1,100,ug P/L,1,0.896,0.0436,1000,ug N/L,2,1.45,0.108
Cal Std 50/500 ug/L,1,11/19/2021,9:21:26 AM,PSSadmin,1,1,50,ug P/L,1,0.407,0.0194,500,ug N/L,2,0.736,0.0546
Cal Std 10/100 ug/L,1,11/19/2021,9:22:45 AM,PSSadmin,1,1,10,ug P/L,1,-0.0365,-0.00229,100,ug N/L,2,0.138,0.0106
Cal Std 5/50 ug/L,1,11/19/2021,9:24:04 AM,PSSadmin,1,1,5,ug P/L,1,-0.157,-0.00779,50,ug N/L,2,0.0702,0.00512
Cal Std 0 ug/L,1,11/19/2021,9:25:23 AM,PSSadmin,1,1,0,ug P/L,1,-0.12,-0.00568,0,ug N/L,2,0.0197,0.00148
CCV Mid 50/500 ug/L,1,11/19/2021,9:26:41 AM,PSSadmin,1,1,52.3,ug P/L,1,0.394,0.0193,501,ug N/L,2,0.736,0.058
CCV Low 10/100 ug/L,1,11/19/2021,9:27:59 AM,PSSadmin,1,1,18.8,ug P/L,1,-0.0195,-0.00158,114,ug N/L,2,0.148,0.0137
CCB ,1,11/19/2021,9:29:19 AM,PSSadmin,1,1,10.7,ug P/L,1,-0.119,-0.00577,24.7,ug N/L,2,0.0127,0.00111
method blank,1,11/19/2021,9:30:38 AM,PSSadmin,1,1,6.09,ug P/L,1,-0.176,-0.00854,29.2,ug N/L,2,0.0197,0.00155
method blank,1,11/19/2021,9:31:57 AM,PSSadmin,1,1,3.4,ug P/L,1,-0.209,-0.0102,14.2,ug N/L,2,-0.00311,-0.00176
LCS TP,1,11/19/2021,9:33:15 AM,PSSadmin,1,1,97.8,ug P/L,1,0.955,0.046,119,ug N/L,2,0.156,0.0116
LCS TN,1,11/19/2021,9:34:33 AM,PSSadmin,1,1,3.21,ug P/L,1,-0.211,-0.01,108,ug N/L,2,0.139,0.0111
128,1,11/19/2021,9:35:51 AM,PSSadmin,1,1,25.8,ug P/L,1,0.0678,0.00392,590,ug N/L,2,0.871,0.0675
129,1,11/19/2021,9:37:10 AM,PSSadmin,1,1,17.9,ug P/L,1,-0.0302,-0.00216,574,ug N/L,2,0.847,0.063
130,1,11/19/2021,9:38:28 AM,PSSadmin,1,1,72.6,ug P/L,1,0.645,0.0309,823,ug N/L,2,1.23,0.0896
131,1,11/19/2021,9:39:46 AM,PSSadmin,1,1,135,ug P/L,1,1.41,0.0691,856,ug N/L,2,1.28,0.0952
132,1,11/19/2021,9:41:03 AM,PSSadmin,1,1,75.5,ug P/L,1,0.68,0.0329,691,ug N/L,2,1.03,0.0757
133,1,11/19/2021,9:42:21 AM,PSSadmin,1,1,18.9,ug P/L,1,-0.0177,-0.00129,595,ug N/L,2,0.879,0.0673
CCV Mid 50/500 ug/L,1,11/19/2021,9:43:39 AM,PSSadmin,1,1,53,ug P/L,1,0.403,0.0194,494,ug N/L,2,0.726,0.0542
CCV Low 10/100 ug/L,1,11/19/2021,9:44:57 AM,PSSadmin,1,1,17.6,ug P/L,1,-0.0343,-0.00208,101,ug N/L,2,0.129,0.0104
CCB ,1,11/19/2021,9:46:16 AM,PSSadmin,1,1,11.4,ug P/L,1,-0.11,-0.00545,19.4,ug N/L,2,0.00472,-0.00105
134,1,11/19/2021,9:47:34 AM,PSSadmin,1,1,28.7,ug P/L,1,0.104,0.00543,604,ug N/L,2,0.892,0.0685
135,1,11/19/2021,9:48:51 AM,PSSadmin,1,1,22.5,ug P/L,1,0.026,0.00153,601,ug N/L,2,0.889,0.067
136,1,11/19/2021,9:50:10 AM,PSSadmin,1,1,323,ug P/L,1,3.74,0.182,451,ug N/L,2,0.66,0.0512
137,1,11/19/2021,9:51:29 AM,PSSadmin,1,1,335,ug P/L,1,3.88,0.187,552,ug N/L,2,0.814,0.0617
138,1,11/19/2021,9:52:49 AM,PSSadmin,1,1,33.1,ug P/L,1,0.157,0.0081,401,ug N/L,2,0.585,0.0432
139,1,11/19/2021,9:54:09 AM,PSSadmin,1,1,22.3,ug P/L,1,0.0237,0.00159,382,ug N/L,2,0.556,0.0463
140,1,11/19/2021,9:55:27 AM,PSSadmin,1,1,20.6,ug P/L,1,0.00283,-0.00149,395,ug N/L,2,0.575,0.0437
141,1,11/19/2021,9:56:46 AM,PSSadmin,1,1,23.8,ug P/L,1,0.0429,0.0126,388,ug N/L,2,0.564,0.0426
142,1,11/19/2021,9:58:05 AM,PSSadmin,1,1,32.2,ug P/L,1,0.147,0.00737,540,ug N/L,2,0.796,0.059
143,1,11/19/2021,9:59:23 AM,PSSadmin,1,1,16.1,ug P/L,1,-0.052,-0.00263,496,ug N/L,2,0.729,0.0574
CCV Mid 50/500 ug/L,1,11/19/2021,10:00:41 AM,PSSadmin,1,1,53.5,ug P/L,1,0.409,0.0197,488,ug N/L,2,0.716,0.0539
CCV Low 10/100 ug/L,1,11/19/2021,10:02:00 AM,PSSadmin,1,1,22.9,ug P/L,1,0.0308,0.00428,94.7,ug N/L,2,0.119,0.00932
CCB ,1,11/19/2021,10:03:19 AM,PSSadmin,1,1,10.7,ug P/L,1,-0.119,-0.00566,17.2,ug N/L,2,0.00142,-0.00158
144,1,11/19/2021,10:04:37 AM,PSSadmin,1,1,47,ug P/L,1,0.329,0.016,532,ug N/L,2,0.783,0.0586
145,1,11/19/2021,10:05:55 AM,PSSadmin,1,1,95.1,ug P/L,1,0.922,0.0442,584,ug N/L,2,0.863,0.0619
146,1,11/19/2021,10:07:14 AM,PSSadmin,1,1,47.1,ug P/L,1,0.331,0.0162,508,ug N/L,2,0.747,0.0559
147,1,11/19/2021,10:08:32 AM,PSSadmin,1,1,14.7,ug P/L,1,-0.0693,-0.00336,391,ug N/L,2,0.57,0.0442
148,1,11/19/2021,10:09:49 AM,PSSadmin,1,1,23.4,ug P/L,1,0.0375,0.00232,465,ug N/L,2,0.681,0.0514
149,1,11/19/2021,10:11:07 AM,PSSadmin,1,1,25.1,ug P/L,1,0.0585,0.00301,503,ug N/L,2,0.74,0.0556
150,1,11/19/2021,10:12:24 AM,PSSadmin,1,1,315,ug P/L,1,3.64,0.175,487,ug N/L,2,0.715,0.0533
151,1,11/19/2021,10:13:44 AM,PSSadmin,1,1,311,ug P/L,1,3.59,0.175,433,ug N/L,2,0.633,0.0486
49,1,11/19/2021,10:15:03 AM,PSSadmin,1,1,61.2,ug P/L,1,0.504,0.0246,189,ug N/L,2,0.263,0.0204
51 2X,1,11/19/2021,10:16:22 AM,PSSadmin,1,1,47.4,ug P/L,1,0.334,0.0164,2470,ug N/L,2,3.73,0.287
CCV Mid 50/500 ug/L,1,11/19/2021,10:17:40 AM,PSSadmin,1,1,51.2,ug P/L,1,0.381,0.0186,471,ug N/L,2,0.69,0.0528
CCV Low 10/100 ug/L,1,11/19/2021,10:18:58 AM,PSSadmin,1,1,14.1,ug P/L,1,-0.0767,-0.00287,106,ug N/L,2,0.136,0.0105
CCB ,1,11/19/2021,10:20:17 AM,PSSadmin,1,1,634,ug P/L,1,7.58,1.03,56.3,ug N/L,2,0.0608,0.00413
57 2X,1,11/19/2021,10:21:36 AM,PSSadmin,1,1,22.4,ug P/L,1,0.0251,0.00204,2660,ug N/L,2,4.02,0.311
69 2X,1,11/19/2021,10:22:55 AM,PSSadmin,1,1,31.8,ug P/L,1,0.141,0.00737,2480,ug N/L,2,3.74,0.279
70 2X,1,11/19/2021,10:24:14 AM,PSSadmin,1,1,14.9,ug P/L,1,-0.0668,-0.00345,1840,ug N/L,2,2.77,0.208
