Sample ID,Replicate Number,Detection Date,Detection Time,User Name,Manual Dilution Factor,Auto Dilution Factor,Peak Concentration,Concentration Units,Channel Number,Peak Area,Peak Height,Peak Concentration,Concentration Units,Channel Number,Peak Area,Peak Height

Cal Std 1000/3000 ug/l,1,8/11/2021,1:35:11 PM,PSSadmin,1,1,1000,ug P/L,1,18.1,0.673,3000,ug N/L,2,5.27,0.322
Cal Std 500/1500 ug/L,1,8/11/2021,1:36:28 PM,PSSadmin,1,1,500,ug P/L,1,9.4,0.347,1500,ug N/L,2,2.81,0.171
Cal Std 100/1000 ug/L,1,8/11/2021,1:37:46 PM,PSSadmin,1,1,100,ug P/L,1,2.16,0.079,1000,ug N/L,2,1.94,0.119
Cal Std 50/500 ug/L,1,8/11/2021,1:39:04 PM,PSSadmin,1,1,50,ug P/L,1,1.19,0.0437,500,ug N/L,2,1.02,0.0597
Cal Std 10/100 ug/L,1,8/11/2021,1:40:22 PM,PSSadmin,1,1,10,ug P/L,1,0.497,0.0186,100,ug N/L,2,0.263,0.0128
Cal Std 5/50 ug/L,1,8/11/2021,1:41:41 PM,PSSadmin,1,1,5,ug P/L,1,0.408,0.0154,50,ug N/L,2,0.126,0.00707
Cal Std 0 ug/L,1,8/11/2021,1:43:01 PM,PSSadmin,1,1,0,ug P/L,1,0.317,0.0117,0,ug N/L,2,0.0656,0.00236
CCV Mid 50/500 ug/L,1,8/11/2021,1:44:19 PM,PSSadmin,1,1,46,ug P/L,1,1.16,0.0423,477,ug N/L,2,0.939,0.0544
CCV Low 10/100 ug/L,1,8/11/2021,1:45:37 PM,PSSadmin,1,1,7.35,ug P/L,1,0.47,0.0177,71.2,ug N/L,2,0.231,0.0112
CCB ,1,8/11/2021,1:46:56 PM,PSSadmin,1,1,-2.8,ug P/L,1,0.289,0.0109,-89.7,ug N/L,2,-0.0503,-0.00146
method blank,1,8/11/2021,1:48:15 PM,PSSadmin,1,1,-1.03,ug P/L,1,0.32,0.0125,-24.7,ug N/L,2,0.0632,0.00164
method blank,1,8/11/2021,1:49:34 PM,PSSadmin,1,1,-0.584,ug P/L,1,0.328,0.0127,-89.5,ug N/L,2,-0.0499,-0.00151
LCS TP,1,8/11/2021,1:50:52 PM,PSSadmin,1,1,83.6,ug P/L,1,1.83,0.0674,30.4,ug N/L,2,0.159,0.00779
LCS TN,1,8/11/2021,1:52:10 PM,PSSadmin,1,1,-0.198,ug P/L,1,0.335,0.0129,171,ug N/L,2,0.405,0.0225
5,1,8/11/2021,1:53:28 PM,PSSadmin,1,1,31.5,ug P/L,1,0.901,0.0332,502,ug N/L,2,0.984,0.0603
6,1,8/11/2021,1:54:47 PM,PSSadmin,1,1,24.8,ug P/L,1,0.781,0.0289,5790,ug N/L,2,10.2,0.637
7,1,8/11/2021,1:56:04 PM,PSSadmin,1,1,34.4,ug P/L,1,0.952,0.0356,7890,ug N/L,2,13.9,0.872
8,1,8/11/2021,1:57:22 PM,PSSadmin,1,1,-0.131,ug P/L,1,0.336,0.0131,5260,ug N/L,2,9.3,0.58
9,1,8/11/2021,1:58:40 PM,PSSadmin,1,1,-0.639,ug P/L,1,0.327,0.0125,7390,ug N/L,2,13,0.819
10,1,8/11/2021,1:59:57 PM,PSSadmin,1,1,67.7,ug P/L,1,1.55,0.0581,6030,ug N/L,2,10.6,0.665
CCV Mid 50/500 ug/L,1,8/11/2021,2:01:15 PM,PSSadmin,1,1,48.7,ug P/L,1,1.21,0.0451,579,ug N/L,2,1.12,0.069
CCV Low 10/100 ug/L,1,8/11/2021,2:02:34 PM,PSSadmin,1,1,3.16,ug P/L,1,0.395,0.0164,81.9,ug N/L,2,0.25,0.0121
CCB ,1,8/11/2021,2:03:54 PM,PSSadmin,1,1,-11,ug P/L,1,0.143,0.00476,-84.1,ug N/L,2,-0.0405,-0.00183
11,1,8/11/2021,2:05:11 PM,PSSadmin,1,1,18.6,ug P/L,1,0.672,0.0263,7130,ug N/L,2,12.6,0.791
12,1,8/11/2021,2:06:28 PM,PSSadmin,1,1,2.39,ug P/L,1,0.382,0.0139,6820,ug N/L,2,12,0.756
13,1,8/11/2021,2:07:45 PM,PSSadmin,1,1,0.367,ug P/L,1,0.345,0.0138,7450,ug N/L,2,13.1,0.83
14,1,8/11/2021,2:09:02 PM,PSSadmin,1,1,-8.15,ug P/L,1,0.193,0.00675,8000,ug N/L,2,14.1,0.886
15,1,8/11/2021,2:10:19 PM,PSSadmin,1,1,-10.5,ug P/L,1,0.151,0.00623,9020,ug N/L,2,15.9,1
16,1,8/11/2021,2:11:38 PM,PSSadmin,1,1,736,ug P/L,1,13.5,0.516,3970,ug N/L,2,7.03,0.443
17,1,8/11/2021,2:12:57 PM,PSSadmin,1,1,41.1,ug P/L,1,1.07,0.0416,6410,ug N/L,2,11.3,0.71
18,1,8/11/2021,2:14:16 PM,PSSadmin,1,1,37.1,ug P/L,1,1,0.0383,314,ug N/L,2,0.655,0.04
19,1,8/11/2021,2:15:34 PM,PSSadmin,1,1,62.3,ug P/L,1,1.45,0.0543,2500,ug N/L,2,4.48,0.28
20,1,8/11/2021,2:16:53 PM,PSSadmin,1,1,1040,ug P/L,1,18.8,0.721,3020,ug N/L,2,5.38,0.337
CCV Mid 50/500 ug/L,1,8/11/2021,2:18:11 PM,PSSadmin,1,1,64.4,ug P/L,1,1.49,0.057,532,ug N/L,2,1.04,0.0639
CCV Low 10/100 ug/L,1,8/11/2021,2:19:29 PM,PSSadmin,1,1,6.37,ug P/L,1,0.452,0.0174,90.7,ug N/L,2,0.265,0.0131
CCB ,1,8/11/2021,2:20:48 PM,PSSadmin,1,1,-7.01,ug P/L,1,0.214,0.0092,-29.5,ug N/L,2,0.0549,0.00229
